ResponseId,COMPANION,PAIN1,PAIN2,pet_frequency,human_frequency,Age,Female,PAIN_DROP,include
R_1eRDj01o0XOw6is,0,3,3,,,43,0,0,1
R_Q4WincgnyK8vdip,0,4,4,,,26,0,0,1
R_21Bw7bvr1ydq9Sk,0,4,5,,,43,1,1,1
R_1rP0a6UoWknJQGH,0,4,4,,,34,0,0,0
R_2aff9icgYAr996X,0,6,6,,,40,1,0,1
R_22yRUajtZzMV0TY,0,5,5,,,36,1,0,1
R_1hLoiJ50h4PmbtE,1,6,6,,5,57,1,0,1
R_VJSz8EukOq7GAz7,1,5,5,,3,35,1,0,1
R_28BDkfmNbb6ZAuA,1,4,4,,4,30,0,0,1
R_x407qn7lEtN2cCJ,1,5,5,,5,47,0,0,1
R_3HSOxU4Kv3droff,1,4,3,,4,63,1,-1,1
R_31WprwK5wX14a4E,1,6,5,,4,37,0,-1,1
R_25vdJO2XIkBEBoC,1,4,4,,1,48,1,0,1
R_1Ig7hhN3cX5SdrZ,1,6,6,,5,41,0,0,1
R_2qF3kYh384pboE0,1,3,1,,2,47,0,-2,1
R_BFkuQM9GJ2wxFjX,2,5,4,4,,47,0,-1,1
R_1FnrUSf1WtAJ22w,2,5,4,5,,42,1,-1,1
R_85Mv0VB48yqFNU5,2,5,4,2,,64,1,-1,1
R_82F770Zqxb5CnW9,2,4,3,5,,63,0,-1,1
R_3dX6fED3JDbDw3p,2,6,2,5,,38,1,-4,1
R_2VqqmPp2rgD6uNj,2,5,4,5,,33,1,-1,1
R_1DHm3Udq05EOHkg,2,6,6,1,,52,0,0,1
R_3oKE9PvXsishMpi,2,5,5,4,,35,0,0,0
R_1mJlkHqa6kelw1o,2,5,1,5,,31,0,-4,1
R_2rGy5P2coS4Lzsd,2,5,5,5,,54,1,0,1
R_2AKzwVnIcMrdor5,2,5,1,5,,36,1,-4,1
R_2ypFaW8hLbbUR92,2,6,6,5,,,,0,1
R_3DkI8BPXhkS9SG4,0,6,5,,,33,1,-1,1
R_3efAaGSQaaPSJyQ,0,6,5,,,77,1,-1,1
R_Zl9QIzTn8yqWRax,0,5,5,,,53,0,0,1
R_3oHIIeKATzvHwyE,0,6,6,,,32,0,0,1
R_3ISRdhH0Kxff4WG,0,6,6,,,29,1,0,1
R_2tEBzwhxXW6UN5x,0,5,4,,,26,0,-1,1
R_2q2HKUUkTQdIfh4,0,4,4,,,32,0,0,1
R_0dhds7EuHUXsAlX,0,6,6,,,26,1,0,1
R_1n6jBWr1IedbzWk,0,4,4,,,23,1,0,1
R_3NF1NzTl97x4fsW,0,5,4,,,31,0,-1,1
R_2WSGzyxXEKcXrKE,0,6,6,,,30,0,0,1
R_1PT8A05K7HYbKkp,0,6,6,,,26,0,0,1
R_1QDQW3SoCrQUgAa,0,6,6,,,60,1,0,1
R_cBzikgrirl7vsid,0,6,6,,,44,1,0,1
R_2bZ5gdkbvUqIxbd,0,6,6,,,37,1,0,1
R_3EDUwEcDlJGxF18,0,5,5,,,32,0,0,1
R_3R4prxEEGStKWzV,0,5,6,,,38,0,1,1
R_3oBFjcnPIYUefjU,0,5,5,,,33,0,0,1
R_Td3eZLfuQLLeRVL,0,5,5,,,30,0,0,1
R_BWew63IT5uAGGEF,0,5,5,,,34,1,0,1
R_3nGDVflKd5pu70S,0,5,4,,,30,0,-1,1
R_cVbQ1STR7XL8Ktz,0,6,5,,,33,1,-1,1
R_1N5m8aQV2NjlOD9,0,6,6,,,54,1,0,1
R_PSaraMhpOSlEuaZ,0,4,4,,,53,0,0,1
R_BWhZCZE6hriooZb,0,4,2,,,30,0,-2,1
R_2PiKYaw9RQAdy2Q,0,4,4,,,55,1,0,1
R_1NEc4Xd8A9OvpIa,0,4,4,,,25,1,0,1
R_3LjVG69B3dXw5kA,0,6,6,,,27,0,0,1
R_2zJjyEEJkNrXUKJ,0,4,3,,,35,0,-1,1
R_2zD310R4sL3aHty,0,3,4,,,22,0,1,1
R_Qnp2Gl64DZwee6l,0,6,6,,,24,1,0,1
R_262Afku7xfm6CXj,0,2,3,,,30,1,1,1
R_1E6WGtk954AqfQT,0,2,2,,,24,0,0,1
R_1K7Tu7nvGOHNEkW,0,5,5,,,26,1,0,1
R_3esiGNYWVecRkd8,0,4,4,,,31,0,0,1
R_9pfndR23b0kHPep,0,5,5,,,42,0,0,1
R_23f6WSHcEOKQSC2,0,6,6,,,30,1,0,1
R_3iqD5mN5dF48rN3,0,5,5,,,38,0,0,1
R_RqyIv8YvcEYqvXX,0,5,5,,,41,1,0,1
R_1CHFiQsurvY1cDC,0,4,4,,,30,2,0,1
R_21oof2WG2t6psnV,0,6,6,,,32,1,0,1
R_vD2pbe90SnP1lq9,0,6,6,,,36,0,0,1
R_3G9Otxc1HoyfwpZ,0,6,6,,,69,1,0,1
R_3IVIiJIKmcnQq53,0,5,5,,,45,0,0,1
R_3eq2wzXVhZab7Sa,0,1,1,,,39,0,0,1
R_3NOhL43zyQwhQb7,0,4,4,,,23,0,0,1
R_21hv7SHGuMeUKmE,0,4,4,,,34,0,0,1
R_qDvSGK4J2cyAbQJ,0,4,4,,,31,1,0,1
R_2YzBfwo0geaF5hi,0,2,2,,,26,0,0,1
R_10OB02tz795Q9Lj,0,5,5,,,31,0,0,1
R_3Q0nuMJYnaPBJ5V,0,6,6,,,25,0,0,1
R_d5Un3CkKxB1KAUh,0,5,5,,,37,1,0,1
R_6SvVx3MqN8nYlON,0,5,3,,,73,1,-2,1
R_1rf81mdvS7dl0dQ,0,4,4,,,45,0,0,1
R_2zO22xgCyuo5mh4,0,4,4,,,34,0,0,1
R_0IEGea7wnba9173,0,6,6,,,32,0,0,1
R_3JyFwEvbjZZo3El,0,6,1,,,70,0,-5,1
R_10BpafTButpIYBI,0,3,3,,,28,1,0,1
R_2cw603irhQCUvNT,0,3,2,,,26,1,-1,1
R_bjzHLEQfyh81rfb,0,6,6,,,40,1,0,1
R_2wFY3I520sbeq3I,0,6,5,,,50,0,-1,1
R_3oN1YiENwiJv3jL,0,4,5,,,36,0,1,1
R_1OVsgt7G3QCq52G,0,6,6,,,62,1,0,1
R_2tJqUzg574jWTp4,0,4,5,,,32,0,1,1
R_2QY87ts3IogHGZt,0,4,4,,,46,0,0,1
R_6o3uFBCijr6MSCB,0,6,5,,,43,1,-1,1
R_242GvdhqwU4Uglv,0,6,6,,,31,1,0,1
R_2xCV2n6WtBhBUUu,0,6,3,,,53,1,-3,1
R_2AYKkCATeITpysi,0,6,6,,,39,1,0,1
R_2vdzevJc3ULz1Xf,0,4,4,,,36,0,0,1
R_3IXpDdbxmLCO4Sa,0,5,5,,,69,0,0,1
R_3q9bkgMHu5jPWyI,0,2,2,,,26,0,0,1
R_2ctkzfNQfPmeVxT,0,6,6,,,39,0,0,1
R_1qX5btVNBZ1HRaU,0,4,2,,,24,1,-2,1
R_1GEmBAwOa1Z0Vqp,0,4,2,,,28,1,-2,1
R_27BFh4dYJZTKfCm,0,6,6,,,34,0,0,1
R_W2RBB97GqohvUFb,0,5,5,,,35,0,0,0
R_1FKVRFA4hdggiy7,0,6,5,,,77,1,-1,1
R_DMkWXWhNK0QKKRj,0,3,3,,,32,0,0,1
R_XTjBIjZIT4IEr9n,0,1,1,,,31,0,0,1
R_1cYcBsgS4IUDVd2,0,5,5,,,26,1,0,1
R_W38ZglKKr9WrPtT,0,6,6,,,56,0,0,1
R_3jUs9EhI0qCyCHc,0,6,5,,,43,1,-1,1
R_9Goum43cXWzY22t,0,6,6,,,20,0,0,1
R_1KjVtxPvfrFo6WF,0,4,4,,,22,1,0,1
R_1ruYVVVfNIXCGfs,0,6,5,,,20,0,-1,1
R_71lIXumGg80i33X,0,5,5,,,36,0,0,1
R_AnAB1VZfp2Q3dHH,0,5,4,,,33,1,-1,1
R_2sRtN8fvuKt9Thq,0,1,4,,,27,0,3,1
R_1DBS3s6xwoharL0,0,6,6,,,56,1,0,1
R_56ynuHPs2v7LwKR,0,3,3,,,30,0,0,1
R_qQHEAhhLheDyviV,0,5,5,,,42,0,0,1
R_2rPdis428zpCLdr,0,3,3,,,41,1,0,1
R_UMFD6pl8uyJ9p17,0,1,1,,,30,0,0,1
R_3Oh33X9iO5PkOhr,0,2,2,,,40,0,0,1
R_3qdnZvEjVYSHofD,0,5,5,,,40,0,0,1
R_1N5rnUvhoWCcm9T,0,6,3,,,53,1,-3,1
R_RIzNR40ERvcaSAh,0,4,5,,,34,0,1,1
R_2zZ6suqb9jaTp0M,0,2,2,,,36,0,0,1
R_23fOAtMm6Bi7eP6,0,1,2,,,34,0,1,1
R_AaFxi6WWazqpN2V,0,5,5,,,64,1,0,1
R_32YiEcllPS6VqMv,0,6,6,,,47,1,0,1
R_3NIZN2zkPOWz4MZ,0,4,5,,,31,1,1,1
R_324oKPJDf0Tl84f,0,4,5,,,32,0,1,1
R_27Hik0o8iv8PYe8,0,5,5,,,60,0,0,1
R_rdIYM4IJ87clOZH,0,4,4,,,57,0,0,1
R_1H1yr57FTxyPyRg,0,5,5,,,36,1,0,1
R_r6grOrUiRU93SN3,0,5,5,,,32,0,0,1
R_2zFMF8nCtXBZWke,0,6,6,,,31,1,0,1
R_2dBhIvCCuOIqU6u,0,5,4,,,53,0,-1,1
R_xDgNdhAnAXYVdtv,0,4,3,,,24,0,-1,1
R_242wwpP6C2Pc8gv,0,5,4,,,31,0,-1,1
R_1EYiCsRZmUFOgP8,0,4,4,,,28,0,0,1
R_5BJwQNQOkUgVegx,0,5,1,,,45,0,-4,1
R_1FnA5M8Q80Nqpiu,0,5,4,,,31,1,-1,1
R_3njyNXvrXbd9j6f,0,5,5,,,70,0,0,1
R_3gYMBRLSoM4YZFe,0,5,4,,,61,1,-1,1
R_2X6b4ZILASNGtGf,0,4,4,,,22,0,0,1
R_3fqpKUQ9tnnx5xU,0,4,4,,,38,0,0,1
R_33rslh9B7y8TJPn,0,3,3,,,33,1,0,1
R_wMrqpIAm6ZKeZhf,0,2,1,,,46,0,-1,1
R_3jfysVhb4re5rEX,0,4,3,,,40,0,-1,1
R_0VZeHJbU2vlUqwp,0,5,6,,,25,0,1,1
R_1EcXDRrkXFmdjqf,0,4,4,,,50,0,0,1
R_3iLqKJTGXkri0mM,0,5,5,,,43,1,0,1
R_1NwR2G2dRcWT2dz,0,5,5,,,38,1,0,1
R_21nerXDiestJDXH,0,5,5,,,42,0,0,1
R_2v6wY6nQPSZ3OVi,0,5,5,,,27,1,0,1
R_xco0nu9BS2klpjr,0,6,6,,,41,1,0,1
R_2v86dOEpIU7G34f,0,5,2,,,31,0,-3,1
R_2Tz5UA0usE7clGP,0,6,6,,,31,0,0,1
R_31EhzQywxt8GR8n,0,6,5,,,29,1,-1,1
R_3pfdQWZLz35uu43,0,3,4,,,38,0,1,1
R_b28uQwoOC8WYPPb,0,4,4,,,20,1,0,1
R_24jiAujV5YTh2NN,0,5,3,,,28,0,-2,1
R_1JJSxhBr7XpaKZ4,0,6,6,,,27,1,0,1
R_2TpC21F6159knUT,0,4,4,,,42,1,0,1
R_1mso6vWNXrvXQAH,0,4,2,,,19,1,-2,1
R_3FOo1DMkVkBWgK7,0,3,3,,,29,0,0,1
R_233HB78vj8RWdNi,0,5,5,,,37,0,0,1
R_3hApCxTuEQQcN4a,0,2,2,,,33,1,0,1
R_Ti4EpXihLCUz0mR,0,6,6,,,40,1,0,1
R_1NmEKoiiEbjvAT9,0,1,1,,,20,1,0,1
R_1k0RQmyqar2g0Gy,0,5,5,,,32,0,0,1
R_1qe6TIM8rPPFtSt,0,6,6,,,47,0,0,1
R_2OSBiB6skdWPVua,0,6,6,,,25,1,0,1
R_3GeMF52H53zkIxK,0,6,2,,,45,1,-4,1
R_3RkD8LkLtC41pOA,0,6,6,,,33,1,0,1
R_2dfNp6Jeg4Hdn6Q,0,5,6,,,53,1,1,1
R_3nSoXwrzDjBsJ0H,0,6,6,,,47,1,0,1
R_3BD2B4xzEuDo8g1,0,3,3,,,36,1,0,1
R_3nGjcrEn6oVGR6H,0,2,2,,,28,1,0,1
R_1invRu0BibNbfzx,0,3,3,,,31,1,0,1
R_r8bmcFiHxf7wAr7,0,5,5,,,22,0,0,1
R_1Ihin7iiiKlz6Nn,0,1,5,,,63,0,4,1
R_264JfPYdwZ8EYHo,0,5,3,,,26,1,-2,1
R_3ITfJN9zUf5W4WA,0,2,2,,,44,0,0,1
R_2VdQ0DmSk9oVJ1N,0,6,6,,,45,1,0,1
R_1pLkXis6jorh6F7,0,5,5,,,27,0,0,1
R_wM3UHiQDagvs05H,0,6,6,,,31,0,0,1
R_72Itmsci9XbZkLn,0,3,2,,,44,0,-1,1
R_2AGViVhb8Tu7USc,0,6,6,,,43,1,0,1
R_9ppNJkbB0RyN4Vr,0,6,6,,,60,0,0,1
R_1jP4achWisOTfBO,0,6,6,,,36,1,0,1
R_1l6RfDbEM3YEdhw,0,6,6,,,26,1,0,1
R_1N6QrHFkeEdXsv7,0,5,5,,,37,1,0,1
R_80osylsyFuPZuSt,0,5,6,,,20,1,1,1
R_2DMPOdOCOc6KL1b,0,5,5,,,60,1,0,1
R_3NxtpqbFwEWCvfF,0,5,5,,,33,0,0,1
R_2sSghc7B1GmMq3N,0,4,3,,,62,0,-1,1
R_agTLG9t9aiB3SHT,0,4,4,,,33,1,0,1
R_2flH566AbBkKKcY,1,5,4,,4,29,0,-1,0
R_2VpzeExVPOtTUiS,1,5,5,,4,56,1,0,1
R_ekvsWFE4EBsrN1D,1,4,4,,4,69,0,0,1
R_1Cfpv49I2cyVqb7,1,2,5,,5,33,0,3,1
R_sbMyWXITqMBzxbb,1,6,5,,5,26,1,-1,1
R_1fjG29Xj0zigq9a,1,6,6,,5,40,0,0,1
R_2yjaFdjK1RNJkw8,1,6,4,,5,43,0,-2,1
R_3lyIVpJYIZJaLY2,1,6,6,,5,27,1,0,1
R_2XhZ7pYj6rDQv7S,1,6,5,,5,25,1,-1,1
R_1ihCzdcctkksqfd,1,2,3,,5,37,1,1,1
R_DVrqk66o0UeWMaR,1,1,1,,5,25,1,0,1
R_12sTv6z6tE9OSBF,1,5,6,,5,39,0,1,1
R_10GYlVt4Qion0Sn,1,5,5,,4,18,1,0,1
R_Rev1axCAgy9fYf7,1,6,6,,5,32,0,0,1
R_x5YVJwir72gXsAx,1,4,4,,4,35,1,0,1
R_1JCxvBm1bW2WD35,1,5,5,,5,27,0,0,1
R_1ihsWNhLftOw2Tc,1,6,5,,5,39,1,-1,1
R_3KqqBXhYuQZ6TxN,1,2,2,,5,39,0,0,1
R_3CWvImIktZin25a,1,5,4,,5,39,1,-1,1
R_2ffgRWCHTcFbdYV,1,2,2,,5,32,0,0,1
R_2q7vrKzZGJwHrWP,1,1,1,,5,37,1,0,1
R_33BxfXqBNiQH5oJ,1,5,5,,4,27,0,0,1
R_2yj7WvQOe1FTw23,1,3,2,,5,36,0,-1,1
R_2WUAMiWtLkv5GXo,1,6,6,,5,64,0,0,1
R_Xp0hTE8kux10s6t,1,4,4,,5,58,0,0,1
R_2pL7iQk6l95025S,1,4,3,,5,38,1,-1,1
R_2UYDPKqVDDTRUDN,1,5,6,,4,45,0,1,1
R_1dn8JqiCqscdbpN,1,4,4,,4,42,1,0,1
R_2tfEXse5B0ocl8j,1,3,4,,5,42,0,1,1
R_2B4pHQgWlZpBOZS,1,6,2,,5,34,0,-4,1
R_31ckbqf9EN1SRtO,1,6,6,,5,30,1,0,1
R_1DqDq8EC213XQ2a,1,6,5,,2,57,1,-1,1
R_C3SQSsfHk334sjT,1,4,4,,4,35,0,0,0
R_56ibUNNsiSbJ61j,1,6,6,,5,34,0,0,1
R_u4wBBxkI8r1Jgsx,1,5,2,,5,31,0,-3,1
R_BFWtpT2Q3DUkJsR,1,1,4,,4,50,0,3,1
R_117VU8JCw0Uuj0x,1,4,4,,2,50,1,0,1
R_1Nb5lXqbJvH7Q8D,1,3,3,,3,32,0,0,1
R_1H1xZFOl1bzNAT3,1,4,4,,5,43,1,0,1
R_O9FcjPM4fJI0MV3,1,3,1,,5,25,1,-2,1
R_5bwtQf2ZtCbnihj,1,5,5,,5,29,0,0,1
R_1HdcgI9T3H7qnLq,1,5,5,,5,28,1,0,1
R_2YXug1CsWy4uc2k,1,2,4,,5,35,0,2,1
R_51DlFU1K1nEP8oV,1,1,2,,5,34,0,1,1
R_1Nk24DncAm1SUDb,1,5,1,,5,66,0,-4,1
R_2EgEFzBysTA4UWb,1,3,3,,5,33,1,0,1
R_1DokqbBd6fTsgzf,1,6,4,,5,42,1,-2,1
R_1dAc5giglNxQhB2,1,4,2,,5,55,0,-2,1
R_24HvnEbIuXI1BZm,1,5,5,,5,60,1,0,1
R_3HtTWBu5vMKVjTV,1,3,3,,4,26,0,0,1
R_3ikhweDOmOFIZ0d,1,5,5,,5,20,0,0,1
R_3kzhRWwlgdJRXJH,1,5,5,,4,26,1,0,1
R_UXzNk09ePBiRjmV,1,6,6,,5,35,0,0,1
R_3h9AT7qmgWfN9cs,1,4,2,,5,25,1,-2,1
R_TsVKlFMvtLhPoYN,1,6,6,,5,28,1,0,1
R_2eQYc4U9myCzQac,1,6,6,,5,63,1,0,1
R_3EgQqVq9C7e22rV,1,5,5,,5,51,1,0,1
R_2xCWHURQlrEIgan,1,6,5,,4,52,1,-1,1
R_1PenKA4gv5RY0Yv,1,5,4,,4,39,0,-1,1
R_1mRjADS9v8HYHFG,1,6,5,,4,57,1,-1,1
R_30bMGe7VojA72ji,1,5,3,,5,25,1,-2,1
R_1gjsSt0Lk4AwWMc,1,6,6,,4,32,0,0,1
R_2rO5esiKZeDMPzC,1,5,6,,5,40,0,1,1
R_3NweVgV5fZfRqbR,1,4,2,,5,36,0,-2,1
R_1QJTP31y7uBvTVJ,1,6,6,,5,58,1,0,1
R_1mKs95SBYdbSppU,1,3,2,,5,25,1,-1,1
R_1GBOlPsxzfBmfbn,1,5,6,,4,61,0,1,1
R_PCefGjBTTUaWx3z,1,6,5,,4,30,0,-1,1
R_1NwFgO1aVd4EUW6,1,2,3,,5,51,0,1,1
R_C7uXD6Pqu7GLaal,1,6,6,,5,61,1,0,1
R_3J1WlEnskCgya5B,1,4,5,,4,42,1,1,1
R_22EzMGDZrnqegqQ,1,4,5,,4,31,0,1,1
R_1igv1KH9zyg1Cs8,1,6,6,,4,41,1,0,1
R_3qP3lsGsTcKWBFi,1,4,4,,2,45,0,0,0
R_2xDhcjE4AbG1eig,1,4,5,,5,46,0,1,1
R_2EiBZGF1sJjQdJg,1,4,3,,4,33,0,-1,1
R_3035XbDF9wQRYwT,1,4,3,,4,30,0,-1,1
R_3CEeNVFNPJSoSDV,1,6,4,,4,36,1,-2,1
R_3NxoK4snBfCTw4T,1,6,6,,2,23,1,0,1
R_1QfSYwZtvN6mefh,1,6,6,,4,65,1,0,1
R_WdqXPeVPKPMhE2Z,1,6,1,,5,35,0,-5,1
R_1I64FaTERuTt0bO,1,5,5,,4,29,0,0,1
R_DCTtLyb5NGyKlEZ,1,5,5,,4,30,0,0,1
R_1QENR7ysW7Di9v9,1,2,2,,5,32,1,0,1
R_vxbWXCBSt0UZWrD,1,6,6,,4,37,1,0,1
R_UE0cA1BB1Ajr07D,1,4,3,,5,32,1,-1,1
R_2XdRaGWUiikaiB3,1,3,2,,4,30,1,-1,1
R_1r6VIiIwfDu1TGZ,1,3,6,,2,45,1,3,1
R_2uWeMJzKPIUDQrr,1,6,6,,5,31,0,0,1
R_2czlxKqkGYLs717,1,6,6,,5,32,1,0,1
R_2yllzQYr6HIlR4u,1,4,2,,5,29,0,-2,1
R_yw4muYaTpbABumJ,1,6,5,,5,34,0,-1,1
R_2SAY0qxPTPpIX89,1,4,4,,4,30,0,0,1
R_1jBWdAqydQvhEu2,1,4,3,,4,30,1,-1,1
R_2vYXeGGnVbYlLer,1,5,5,,5,33,1,0,1
R_1ls1XGZSIfNJvBT,1,2,4,,4,32,0,2,1
R_1LUc22l3UqWsnGX,1,5,5,,5,33,0,0,1
R_1KjT555YsXR8EoM,1,4,3,,5,27,1,-1,1
R_11hEM62HWb6V0HG,1,3,2,,4,,0,-1,1
R_2do2B0CqH1rREeE,1,4,1,,4,36,0,-3,1
R_1gd4cuwSH9m9UZj,1,3,2,,4,30,0,-1,1
R_2BsVT44douRVB80,1,4,4,,5,29,1,0,1
R_3KpTIphIMnr7BS8,1,5,3,,4,57,1,-2,1
R_2bP2U53dbQIPuCL,1,4,3,,5,24,1,-1,1
R_3OdJsvAW3l5ljO7,1,2,2,,3,31,1,0,1
R_3OlfYzR9YTzz0rm,1,3,3,,1,68,1,0,1
R_2VprVaUKveSyXM8,1,6,6,,4,41,1,0,1
R_2zeYoI7NOHD6qJG,1,4,4,,5,21,0,0,1
R_2ruz9fC9FEnsSnP,1,5,5,,4,33,1,0,0
R_3lWeT39FU70aizc,1,5,3,,4,37,0,-2,1
R_1QhzBPcXuaxdp73,1,6,6,,5,29,1,0,1
R_VOwIm8fXvzvITxD,1,5,5,,5,64,1,0,1
R_1dFuXcE8o7RzcY6,1,6,6,,5,36,1,0,1
R_2WwEUCmdISHaBHO,1,6,6,,5,30,0,0,1
R_emsaXahuTUpEH2V,1,3,4,,4,25,0,1,1
R_7Qb8A4XMQq9Fp4d,1,6,5,,4,20,2,-1,1
R_3mkPY1XQS4EfCNJ,1,6,6,,5,35,1,0,1
R_2w66Dcv4IKe8EVY,1,6,3,,5,36,1,-3,1
R_2X1FRcdDhlqSnfx,1,6,5,,5,23,1,-1,1
R_1qfFY342guNOq5z,1,6,4,,4,38,1,-2,1
R_27EC8XgMB2ao5a0,1,6,6,,5,36,1,0,1
R_3oMZwd0ekXaIEmp,1,6,6,,3,32,0,0,1
R_2zihdDqbE4v02w3,1,5,5,,3,39,1,0,1
R_2zuyJsbwhTz26fm,1,6,6,,3,69,1,0,1
R_3L4M2gPMj9HQVCs,1,6,5,,5,42,1,-1,1
R_2c2EqAajP3QHW2b,1,4,2,,5,37,1,-2,1
R_2WMx9Nth90mGNsK,1,5,2,,5,49,1,-3,1
R_2ANFDWlYberWQnu,1,5,1,,2,32,0,-4,1
R_3Ed6PNKRogUZG6Z,1,2,2,,3,20,1,0,1
R_26ezTX7CZOnOAyw,1,6,1,,4,33,1,-5,1
R_2Tq0Vdv1racoM4A,1,4,4,,5,31,0,0,1
R_3qjKIuu1Ac57b8k,1,2,2,,5,31,1,0,1
R_3lVPVFlcWNudIgG,1,5,4,,2,42,0,-1,1
R_1C1KYRXwAmEhsvS,1,5,5,,5,42,0,0,1
R_31toU0tT9hyIgju,1,6,5,,5,25,1,-1,1
R_1n9s2hXv2CJaudr,1,1,2,,4,23,1,1,1
R_2al74myPa8YpXqM,1,5,4,,4,28,0,-1,1
R_2qrS5r51OrvmKIw,1,3,3,,3,26,1,0,1
R_1mkE0xEMtnkXDYG,1,6,6,,5,29,1,0,1
R_1n2vMl225LHr9O9,1,6,5,,5,53,1,-1,1
R_2UhLEKj2pUzz7Xm,1,5,6,,5,38,1,1,1
R_3FJMB33iL7oKjwi,1,5,5,,3,43,1,0,1
R_Um8dVHYwx7fhnSV,1,5,5,,3,44,0,0,1
R_1ob681P9FkBmjTR,1,5,4,,3,47,1,-1,1
R_3Pdft169hNTHY6Y,1,5,4,,4,33,0,-1,1
R_2TmBnUVryif9cqp,1,1,1,,4,37,0,0,1
R_22KX1ZLMGdg8mbp,1,5,5,,5,20,1,0,1
R_3oXES5OGaOjU3nr,1,6,6,,4,39,1,0,1
R_3QLxPMyR1hODl5k,1,4,2,,5,39,1,-2,1
R_zVfEuj3xD6XON8t,1,4,4,,4,32,0,0,1
R_1LIPw6oCtJIP5Zh,1,6,6,,5,51,1,0,1
R_2t2Njx3h3Pm3eKL,1,5,5,,5,23,1,0,1
R_32L1tNbkLMsgNT0,1,4,4,,5,29,1,0,1
R_1Ig5AGAVrCXIaMQ,1,5,5,,5,41,1,0,1
R_3iWFfYl0c99l2S0,1,5,4,,4,35,0,-1,1
R_3sizdUQy9EhDQrf,1,4,1,,5,45,0,-3,1
R_1o53k9F3qhdpzLn,1,5,3,,4,60,1,-2,1
R_3EuOjx3yzcNk9Ol,1,1,3,,4,30,0,2,1
R_3qlCx2QsZ3mAuSn,1,4,5,,3,57,0,1,1
R_3xQoRuHjcavMzWF,1,5,2,,4,54,1,-3,1
R_bkFa3uOptWMszpT,1,6,3,,4,34,1,-3,1
R_doPDC1OSAxEgul3,1,3,3,,3,36,1,0,1
R_1jexpTNcs7MonES,1,5,5,,4,41,1,0,1
R_e2QY7alkJF9VzJn,1,4,4,,5,26,0,0,1
R_8j3cI6LzGkb7161,1,4,4,,5,41,0,0,0
R_2TMjCkfYurpUyIf,1,6,6,,3,55,1,0,1
R_9GlK2NAe5ultJMR,1,6,6,,4,33,0,0,1
R_3IRIyGTL8HG4Hs2,1,5,5,,4,58,0,0,1
R_XZAOLZNJNYN27NT,1,1,1,,4,34,0,0,0
R_2mlJQEJc73NDiVz,1,2,2,,4,33,0,0,0
R_1E6tPujlnYLfiDs,1,6,6,,5,52,1,0,1
R_1KvAIpaYqLEqXO8,1,2,2,,5,,0,0,1
R_3DkFniLBZLaAvvQ,1,5,2,,4,32,0,-3,1
R_2bTejCQX0y7eG7F,1,4,3,,5,48,1,-1,1
R_3MfIw52V9SgJ2td,1,5,2,,5,57,0,-3,1
R_VXp5Gm5f58s90C5,1,4,4,,5,25,1,0,1
R_2U4xQqTZQYXNndh,1,5,4,,5,45,0,-1,1
R_2vjm9nLluZ7i2iM,1,3,2,,4,58,1,-1,1
R_2cooxbx23JlfkFP,1,3,2,,5,35,1,-1,1
R_2BzyaPRCW1ZBq2G,1,1,1,,5,30,0,0,1
R_31bH8BoGNQgn5mh,1,5,5,,5,29,1,0,1
R_3hlLKgketzExIwZ,1,6,6,,4,36,1,0,1
R_3R1mJrgni9oSOBb,1,5,5,,5,41,0,0,1
